alg,pacgums,score,time,win
A_Star_Agress,104,2160.0,49.50586676597595,False
A_Star_Rand,100,1100.0,49.25137424468994,False
Dijkstra_Rand,56,560.0,39.98267817497253,False
BFS_Mod,242,2780.0,604.3238651752472,False
Rand_Dir,23,230.0,44.69546866416931,False
Rand_Dir_Legal,46,460.0,49.7814199924469,False
Rand_Dir_Hold,59,630.0,49.18939995765686,False
Rand_Dir_Charge,134,1620.0,71.15762114524841,False
Rand_Dir_Legal_Hold,126,1940.0,60.93218731880188,False
Rand_Turn,58,580.0,46.79357886314392,False
Rand_Turn_Legal,59,630.0,49.501057863235474,False
BFS_Gum,224,2700.0,67.55400085449219,False
BFS_Rand,71,710.0,34.60551333427429,False
BFS_Agress,121,2970.0,56.74007487297058,False
A_Star_Agress,135,8510.0,56.796815156936646,False
A_Star_Rand,48,480.0,34.96199989318848,False
Dijkstra_Rand,52,1160.0,50.38936829566956,False
BFS_Mod,242,2980.0,739.2004930973053,False
Rand_Dir,44,440.0,47.26934623718262,False
Rand_Dir_Legal,27,270.0,36.80398464202881,False
Rand_Dir_Hold,69,930.0,54.82614850997925,False
Rand_Dir_Charge,99,1230.0,42.86959385871887,False
Rand_Dir_Legal_Hold,87,870.0,41.16109991073608,False
Rand_Turn,43,430.0,45.01302075386048,False
Rand_Turn_Legal,70,740.0,62.356414556503296,False
BFS_Gum,244,2800.0,62.99630546569824,True
BFS_Rand,56,560.0,31.43358874320984,False
BFS_Agress,62,1300.0,36.16434717178345,False
A_Star_Agress,51,3590.0,35.40125751495361,False
A_Star_Rand,78,780.0,43.3817982673645,False
Dijkstra_Rand,46,460.0,49.99888753890991,False
BFS_Mod,237,3130.0,580.5247015953064,False
Rand_Dir,37,370.0,46.39043998718262,False
Rand_Dir_Legal,22,220.0,47.3777482509613,False
Rand_Dir_Hold,87,910.0,46.23013734817505,False
Rand_Dir_Charge,178,2240.0,87.83534550666809,False
Rand_Dir_Legal_Hold,104,1080.0,46.9862003326416,False
Rand_Turn,40,400.0,44.55813717842102,False
Rand_Turn_Legal,25,250.0,42.88320875167847,False
BFS_Gum,192,2040.0,60.135183572769165,False
BFS_Rand,97,1050.0,55.00406455993652,False
A_Star_Agress,87,4190.0,47.653624296188354,False
A_Star_Rand,72,760.0,42.109442472457886,False
Dijkstra_Rand,57,610.0,54.26805019378662,False
BFS_Mod,241,2770.0,590.3254463672638,False
Rand_Dir,43,430.0,53.65908145904541,False
Rand_Dir_Legal,33,330.0,40.078760385513306,False
Rand_Dir_Hold,118,1260.0,54.33251118659973,False
Rand_Dir_Charge,82,1060.0,43.60738897323608,False
Rand_Dir_Legal_Hold,161,1890.0,70.70849895477295,False
Rand_Turn,92,920.0,74.96484160423279,False
Rand_Turn_Legal,59,590.0,56.92673873901367,False
